epoch,accuracy,loss,val_accuracy,val_loss
0,0.3728203773498535,1.3178812265396118,0.4495677351951599,1.2624832391738892
1,0.6493219137191772,0.9773989915847778,0.6657060384750366,0.917532205581665
2,0.7998892664909363,0.5801070332527161,0.7089337110519409,0.7956619262695312
3,0.8433434963226318,0.4179503917694092,0.7002881765365601,0.8022560477256775
4,0.8843066692352295,0.3284101188182831,0.6887608170509338,0.8133082985877991
5,0.9114309549331665,0.2703171968460083,0.6916426420211792,0.8735293745994568
6,0.924993097782135,0.22798606753349304,0.6916426420211792,0.8921533226966858
7,0.9380016326904297,0.1891733705997467,0.6974063515663147,0.9891154170036316
8,0.9518405795097351,0.1627069115638733,0.6945244669914246,1.0557938814163208
9,0.9562690258026123,0.1433745175600052,0.6858789920806885,1.093598484992981
10,0.9637420177459717,0.12880411744117737,0.6772334575653076,1.1333566904067993
11,0.9684472680091858,0.11442497372627258,0.6858789920806885,1.1932216882705688
12,0.9659562706947327,0.10932452976703644,0.7002881765365601,1.224037766456604
13,0.9690008163452148,0.10098115354776382,0.6916426420211792,1.2812952995300293
14,0.9687240719795227,0.09656848758459091,0.6772334575653076,1.3183149099349976
15,0.9717686176300049,0.09089688211679459,0.6772334575653076,1.375622034072876
16,0.974259614944458,0.08952993154525757,0.680115282535553,1.3833204507827759
17,0.973706066608429,0.08246191591024399,0.680115282535553,1.4141725301742554
18,0.976473867893219,0.08000609278678894,0.6887608170509338,1.4336827993392944
19,0.9745364189147949,0.08066397905349731,0.6829971075057983,1.440207839012146
20,0.975643515586853,0.0811375081539154,0.6829971075057983,1.5069313049316406
21,0.9761970639228821,0.07168124616146088,0.680115282535553,1.5035730600357056
22,0.9761970639228821,0.0749441459774971,0.6714697480201721,1.5020067691802979
23,0.9784113168716431,0.0652584433555603,0.6657060384750366,1.5486974716186523
24,0.9795184135437012,0.06471490114927292,0.6772334575653076,1.547925591468811
